MEF.identity,Pluripotency,G1.S,G2.M,Cell.cycle,ER.stress,Epithelial.identity,ECM.rearrangement,Apoptosis,SASP,Neural.identity,Neural.progenitor,Mesoderm,Endoderm,XEN-like cell,Placental.identity,X.reactivation,Candidate.from.array
Zc3h7b,,,,,,,,,,,,,,,A2m,Rhox4b,
7630403g23rik,,,,,,,,,,,,,,,Rimklb,Rhox2c,
Tnpo2,,,,,,,,,,,,,,,Loc100504569,Rhox3c,
Cep170,,,,,,,,,,,,,,,Apob,Rhox4c,
Pdlim5,,,,,,,,,,,,,,,Tmem150a,Rhox2d,
Pdlim7,,,,,,,,,,,,,,,9130404d08rik,Rhox4d,
Cad,,,,,,,,,,,,,,,Prl8a6,Rhox2e,
Unc5b,,,,,,,,,,,,,,,Cts6,Rhox3e,
2410018l13rik,,,,,,,,,,,,,,,Prl8a8,Rhox4e,
Loc100216343,,,,,,,,,,,,,,,Prl8a9,Rhox2f,
Glrx3,,,,,,,,,,,,,,,Cts3,Rhox3f,
Kctd5,,,,,,,,,,,,,,,Krt18,Rhox4f,
Loc269472,,,,,,,,,,,,,,,Nrn1l,Rhox3g,
Myo1c,,,,,,,,,,,,,,,Sfi1,Rhox2g,
4930562c15rik,,,,,,,,,,,,,,,Tlr5,Rhox4g,
Tll1,,,,,,,,,,,,,,,Rhou,Rhox3h,
Sema3a,,,,,,,,,,,,,,,Arhgef6,Rhox2h,
Itgb1,,,,,,,,,,,,,,,Tmem185b,Rhox5,
Nxn,,,,,,,,,,,,,,,Tram2,Rhox6,
Tmem41b,,,,,,,,,,,,,,,Cited1,Rhox7a,
Sec23a,,,,,,,,,,,,,,,Cited2,Rhox8,
Gm22,,,,,,,,,,,,,,,Zfand2a,Rhox7b,
Itgb5,,,,,,,,,,,,,,,Krt25,Rhox9,
Dysf,,,,,,,,,,,,,,,Klk4,Btg1-ps1,
Thbs1,,,,,,,,,,,,,,,Tnfrsf11b,Btg1-ps2,
Bc022687,,,,,,,,,,,,,,,2010204k13rik,Rhox10,
Dnm3os,,,,,,,,,,,,,,,Tor1aip2,Rhox11,
Rnd3,,,,,,,,,,,,,,,Fmr1nb,Rhox12,
Pik3c2a,,,,,,,,,,,,,,,Ctsr,Rhox13,
2810008m24rik,,,,,,,,,,,,,,,Ctsq,Zbtb33,
Spred3,,,,,,,,,,,,,,,Prl8a2,Tmem255a,
Senp5,,,,,,,,,,,,,,,Ctsm,Atp1b4,
Arl13b,,,,,,,,,,,,,,,Prl8a1,Lamp2,
Polr2e,,,,,,,,,,,,,,,Ctsj,Gm7598,
Itgav,,,,,,,,,,,,,,,Mpzl1,Cul4b,
Igf2bp3,,,,,,,,,,,,,,,Stra6,Mcts1,
,,,,,,,,,,,,,,,Bcap31,C1galt1c1,
,,,,,,,,,,,,,,,Creg1,Gm14565,
,,,,,,,,,,,,,,,Tcfap2c,6030498E09Rik,
,,,,,,,,,,,,,,,Prl7b1,Cypt15,
,,,,,,,,,,,,,,,Ghrh,Cypt14,
,,,,,,,,,,,,,,,4930486l24rik,Gria3,
,,,,,,,,,,,,,,,Neurog2,Thoc2,
,,,,,,,,,,,,,,,5430425j12rik,Xiap,
,,,,,,,,,,,,,,,Prl7a1,Stag2,
,,,,,,,,,,,,,,,Prl7a2,Gm43337,
,,,,,,,,,,,,,,,Mir1199,Sh2d1a,
,,,,,,,,,,,,,,,Tbc1d10a,Tenm1,
,,,,,,,,,,,,,,,Ralbp1,Gm362,
,,,,,,,,,,,,,,,Pdgfra,Dcaf12l2,
,,,,,,,,,,,,,,,Morc4,Dcaf12l1,
,,,,,,,,,,,,,,,Rarres2,Prr32,
,,,,,,,,,,,,,,,Arid3a,4930515L19Rik,
,,,,,,,,,,,,,,,Lifr,Actrt1,
,,,,,,,,,,,,,,,Shisa3,Gm29242,
,,,,,,,,,,,,,,,Uevld,Smarca1,
,,,,,,,,,,,,,,,Scnn1b,Ocrl,
,,,,,,,,,,,,,,,Dnajb12,Apln,
,,,,,,,,,,,,,,,Brwd3,Xpnpep2,
,,,,,,,,,,,,,,,Hhipl1,Sash3,
,,,,,,,,,,,,,,,Fbln7,Zdhhc9,
,,,,,,,,,,,,,,,Masp1,Utp14a,
,,,,,,,,,,,,,,,Nrk,9530027J09Rik,
,,,,,,,,,,,,,,,Pvr,Bcorl1,
,,,,,,,,,,,,,,,Atp2c1,Elf4,
,,,,,,,,,,,,,,,Amot,Aifm1,
,,,,,,,,,,,,,,,1600014k23rik,Rab33a,
,,,,,,,,,,,,,,,Tbrg1,Zfp280c,
,,,,,,,,,,,,,,,Slit1,Slc25a14,
,,,,,,,,,,,,,,,A730090h04rik,Gpr119,
,,,,,,,,,,,,,,,4931406p16rik,Rbmx2,
,,,,,,,,,,,,,,,Opn3,Gm595,
,,,,,,,,,,,,,,,Pdia4,Enox2,
,,,,,,,,,,,,,,,B930054o08,Gm14696,
,,,,,,,,,,,,,,,1700031f05rik,Gm14697,
,,,,,,,,,,,,,,,Inhba,Arhgap36,
,,,,,,,,,,,,,,,Inhbb,Olfr1320,
,,,,,,,,,,,,,,,Helz,Olfr1321,
,,,,,,,,,,,,,,,Sele,Igsf1,
,,,,,,,,,,,,,,,Pdia6,Olfr1322,
,,,,,,,,,,,,,,,Pdia5,Olfr1323,
,,,,,,,,,,,,,,,Creb3,Olfr1324,
,,,,,,,,,,,,,,,Efna1,Stk26,
,,,,,,,,,,,,,,,Dlg5,Frmd7,
,,,,,,,,,,,,,,,Procr,Rap2c,
,,,,,,,,,,,,,,,Fgfr1,Mbnl3,
,,,,,,,,,,,,,,,Gnb4,Hs6st2,
,,,,,,,,,,,,,,,2310030g06rik,Usp26,
,,,,,,,,,,,,,,,Gcm1,1700080O16Rik,
,,,,,,,,,,,,,,,Psg18,Gpc4,
,,,,,,,,,,,,,,,Golt1b,Gpc3,
,,,,,,,,,,,,,,,Psg19,Gm14582,
,,,,,,,,,,,,,,,Psg16,A630012P03Rik,
,,,,,,,,,,,,,,,Slc2a1,Ccdc160,
,,,,,,,,,,,,,,,Psg17,Phf6,
,,,,,,,,,,,,,,,Htra3,Hprt,
,,,,,,,,,,,,,,,Klhl13,Gm28730,
,,,,,,,,,,,,,,,Ets2,Plac1,
,,,,,,,,,,,,,,,Nppc,Fam122b,
,,,,,,,,,,,,,,,Tgm1,Fam122c,
,,,,,,,,,,,,,,,Tmem108,Mospd1,
,,,,,,,,,,,,,,,Usp53,Etd,
,,,,,,,,,,,,,,,Mark3,Gm14597,
,,,,,,,,,,,,,,,Cbx8,Cxx1c,
,,,,,,,,,,,,,,,Hspa5,Cxx1a,
,,,,,,,,,,,,,,,Spats2,Cxx1b,
,,,,,,,,,,,,,,,Limk2,4930502E18Rik,
,,,,,,,,,,,,,,,Mkl2,1700013H16Rik,
,,,,,,,,,,,,,,,Shroom4,Zfp36l3,
,,,,,,,,,,,,,,,Shroom1,Xlr,
,,,,,,,,,,,,,,,Pou2f3,Gm16405,
,,,,,,,,,,,,,,,Acvr2b,Gm16430,
,,,,,,,,,,,,,,,Rbms2,Slxl1,
,,,,,,,,,,,,,,,Atg4b,3830403N18Rik,
,,,,,,,,,,,,,,,Pappa2,Gm773,
,,,,,,,,,,,,,,,Rbm25,1600025M17Rik,
,,,,,,,,,,,,,,,Gm4793,Zfp449,
,,,,,,,,,,,,,,,Nid1,Gm2155,
,,,,,,,,,,,,,,,Uba6,Smim10l2a,
,,,,,,,,,,,,,,,Lamc1,Gm2174,
,,,,,,,,,,,,,,,Slc40a1,Ddx26b,
,,,,,,,,,,,,,,,Hapln3,Gm10477,
,,,,,,,,,,,,,,,Fam176a,Gm648,
,,,,,,,,,,,,,,,Pdlim1,Mmgt1,
,,,,,,,,,,,,,,,Ube2q2,Slc9a6,
,,,,,,,,,,,,,,,Au018091,Fhl1,
,,,,,,,,,,,,,,,Bdkrb2,Mtap7d3,
,,,,,,,,,,,,,,,E130203b14rik,Adgrg4,
,,,,,,,,,,,,,,,S100g,Brs3,
,,,,,,,,,,,,,,,4933402e13rik,Htatsf1,
,,,,,,,,,,,,,,,Dapk2,Vgll1,
,,,,,,,,,,,,,,,Gm11985,Gm14718,
,,,,,,,,,,,,,,,Fndc3b,Cd40lg,
,,,,,,,,,,,,,,,Twsg1,Arhgef6,
,,,,,,,,,,,,,,,Aldh1a3,Rbmx,
,,,,,,,,,,,,,,,Lnx2,Gm364,
,,,,,,,,,,,,,,,Taf7,Gpr101,
,,,,,,,,,,,,,,,Ai844869,Zic3,
,,,,,,,,,,,,,,,Clec12b,4930550L24Rik,
,,,,,,,,,,,,,,,Prkcsh,Fgf13,
,,,,,,,,,,,,,,,Lama5,F9,
,,,,,,,,,,,,,,,Tchh,Mcf2,
,,,,,,,,,,,,,,,Lama1,Atp11c,
,,,,,,,,,,,,,,,Rps6ka6,Gm7073,
,,,,,,,,,,,,,,,Vhl,Gm14661,
,,,,,,,,,,,,,,,Eps8l2,Sox3,
,,,,,,,,,,,,,,,Polg,Gm14662,
,,,,,,,,,,,,,,,,Gm14664,
,,,,,,,,,,,,,,,,Cdr1,
,,,,,,,,,,,,,,,,Ldoc1,
,,,,,,,,,,,,,,,,4933402E13Rik,
,,,,,,,,,,,,,,,,4931400O07Rik,
,,,,,,,,,,,,,,,,1700019B21Rik,
,,,,,,,,,,,,,,,,Gm6760,
,,,,,,,,,,,,,,,,3830417A13Rik,
,,,,,,,,,,,,,,,,Slitrk4,
,,,,,,,,,,,,,,,,Ctag2,
,,,,,,,,,,,,,,,,4930447F04Rik,
,,,,,,,,,,,,,,,,Slitrk2,
,,,,,,,,,,,,,,,,1700036O09Rik,
,,,,,,,,,,,,,,,,Gm1140,
,,,,,,,,,,,,,,,,Gm14692,
,,,,,,,,,,,,,,,,4933436I01Rik,
,,,,,,,,,,,,,,,,Fmr1os,
,,,,,,,,,,,,,,,,Fmr1,
,,,,,,,,,,,,,,,,Fmr1nb,
,,,,,,,,,,,,,,,,Gm14698,
,,,,,,,,,,,,,,,,Gm6812,
,,,,,,,,,,,,,,,,Gm14705,
,,,,,,,,,,,,,,,,Aff2,
,,,,,,,,,,,,,,,,1700111N16Rik,
,,,,,,,,,,,,,,,,1700020N15Rik,
,,,,,,,,,,,,,,,,Ids,
,,,,,,,,,,,,,,,,1110012L19Rik,
,,,,,,,,,,,,,,,,4930567H17Rik,
,,,,,,,,,,,,,,,,BC023829,
,,,,,,,,,,,,,,,,Mamld1,
,,,,,,,,,,,,,,,,Mtm1,
,,,,,,,,,,,,,,,,Mtmr1,
,,,,,,,,,,,,,,,,Cd99l2,
,,,,,,,,,,,,,,,,Gm16189,
,,,,,,,,,,,,,,,,Hmgb3,
,,,,,,,,,,,,,,,,Gpr50,
,,,,,,,,,,,,,,,,Vma21,
,,,,,,,,,,,,,,,,Gm1141,
,,,,,,,,,,,,,,,,Prrg3,
,,,,,,,,,,,,,,,,Fate1,
,,,,,,,,,,,,,,,,Cnga2,
,,,,,,,,,,,,,,,,Magea4,
,,,,,,,,,,,,,,,,Gabre,
,,,,,,,,,,,,,,,,Magea10,
,,,,,,,,,,,,,,,,Gabra3,
,,,,,,,,,,,,,,,,Gabrq,
,,,,,,,,,,,,,,,,Cetn2,
,,,,,,,,,,,,,,,,Nsdhl,
,,,,,,,,,,,,,,,,Gm14684,
,,,,,,,,,,,,,,,,Zfp185,
,,,,,,,,,,,,,,,,Pnma5,
,,,,,,,,,,,,,,,,Pnma3,
,,,,,,,,,,,,,,,,Xlr4a,
,,,,,,,,,,,,,,,,Xlr3a,
,,,,,,,,,,,,,,,,Xlr5a,
,,,,,,,,,,,,,,,,Gm14685,
,,,,,,,,,,,,,,,,DXBay18,
,,,,,,,,,,,,,,,,Xlr5b,
,,,,,,,,,,,,,,,,Spin2d,
,,,,,,,,,,,,,,,,Xlr3b,
,,,,,,,,,,,,,,,,Xlr4b,
,,,,,,,,,,,,,,,,F8a,
,,,,,,,,,,,,,,,,Xlr4c,
,,,,,,,,,,,,,,,,Xlr3c,
,,,,,,,,,,,,,,,,Xlr5c,
,,,,,,,,,,,,,,,,RP23-95K12.13,
,,,,,,,,,,,,,,,,Zfp275,
,,,,,,,,,,,,,,,,Gm18336,
,,,,,,,,,,,,,,,,Gm26726,
,,,,,,,,,,,,,,,,Zfp92,
,,,,,,,,,,,,,,,,Trex2,
,,,,,,,,,,,,,,,,Haus7,
,,,,,,,,,,,,,,,,Bgn,
,,,,,,,,,,,,,,,,Atp2b3,
,,,,,,,,,,,,,,,,Dusp9,
,,,,,,,,,,,,,,,,Pnck,
,,,,,,,,,,,,,,,,Slc6a8,
,,,,,,,,,,,,,,,,Bcap31,
,,,,,,,,,,,,,,,,Abcd1,
,,,,,,,,,,,,,,,,Plxnb3,
,,,,,,,,,,,,,,,,Srpk3,
,,,,,,,,,,,,,,,,Idh3g,
,,,,,,,,,,,,,,,,Ssr4,
,,,,,,,,,,,,,,,,Pdzd4,
,,,,,,,,,,,,,,,,L1cam,
,,,,,,,,,,,,,,,,Arhgap4,
,,,,,,,,,,,,,,,,Avpr2,
,,,,,,,,,,,,,,,,Naa10,
,,,,,,,,,,,,,,,,Renbp,
,,,,,,,,,,,,,,,,Hcfc1,
,,,,,,,,,,,,,,,,Irak1,
,,,,,,,,,,,,,,,,Mecp2,
,,,,,,,,,,,,,,,,Opn1mw,
,,,,,,,,,,,,,,,,Tex28,
,,,,,,,,,,,,,,,,Tktl1,
,,,,,,,,,,,,,,,,Flna,
,,,,,,,,,,,,,,,,Emd,
,,,,,,,,,,,,,,,,Rpl10,
,,,,,,,,,,,,,,,,Dnase1l1,
,,,,,,,,,,,,,,,,Taz,
,,,,,,,,,,,,,,,,Atp6ap1,
,,,,,,,,,,,,,,,,Gdi1,
,,,,,,,,,,,,,,,,Fam50a,
,,,,,,,,,,,,,,,,Plxna3,
,,,,,,,,,,,,,,,,Lage3,
,,,,,,,,,,,,,,,,Ubl4a,
,,,,,,,,,,,,,,,,Slc10a3,
,,,,,,,,,,,,,,,,Fam3a,
,,,,,,,,,,,,,,,,Ikbkg,
,,,,,,,,,,,,,,,,G6pdx,
,,,,,,,,,,,,,,,,Gm6880,
,,,,,,,,,,,,,,,,Olfr1326-ps1,
,,,,,,,,,,,,,,,,Olfr1325,
,,,,,,,,,,,,,,,,Gm5640,
,,,,,,,,,,,,,,,,Gm6890,
,,,,,,,,,,,,,,,,Gm5936,
,,,,,,,,,,,,,,,,Gab3,
,,,,,,,,,,,,,,,,Dkc1,
,,,,,,,,,,,,,,,,Mpp1,
,,,,,,,,,,,,,,,,Smim9,
,,,,,,,,,,,,,,,,F8,
,,,,,,,,,,,,,,,,Fundc2,
,,,,,,,,,,,,,,,,Cmc4,
,,,,,,,,,,,,,,,,Mtcp1,
,,,,,,,,,,,,,,,,Brcc3,
,,,,,,,,,,,,,,,,Vbp1,
,,,,,,,,,,,,,,,,Gm15384,
,,,,,,,,,,,,,,,,Rab39b,
,,,,,,,,,,,,,,,,Gm15063,
,,,,,,,,,,,,,,,,Pls3,
,,,,,,,,,,,,,,,,Gm14715,
,,,,,,,,,,,,,,,,Gm14707,
,,,,,,,,,,,,,,,,Gm14717,
,,,,,,,,,,,,,,,,Cldn34b3,
,,,,,,,,,,,,,,,,Cldn34b4,
,,,,,,,,,,,,,,,,Cldn34d,
,,,,,,,,,,,,,,,,Tbl1x,
,,,,,,,,,,,,,,,,Prkx,
,,,,,,,,,,,,,,,,Gm14742,
,,,,,,,,,,,,,,,,Pbsn,
,,,,,,,,,,,,,,,,Gm14744,
,,,,,,,,,,,,,,,,5430402E10Rik,
,,,,,,,,,,,,,,,,Obp1a,
,,,,,,,,,,,,,,,,Gm5938,
,,,,,,,,,,,,,,,,Obp1b,
,,,,,,,,,,,,,,,,Gm14743,
,,,,,,,,,,,,,,,,4930480E11Rik,
,,,,,,,,,,,,,,,,Prrg1,
,,,,,,,,,,,,,,,,Fam47c,
,,,,,,,,,,,,,,,,Gm7173,
,,,,,,,,,,,,,,,,Mageb16,
,,,,,,,,,,,,,,,,Gm26775,
,,,,,,,,,,,,,,,,Tmem47,
,,,,,,,,,,,,,,,,4930595M18Rik,
,,,,,,,,,,,,,,,,Dmd,
,,,,,,,,,,,,,,,,Tsga8,
,,,,,,,,,,,,,,,,Fthl17a,
,,,,,,,,,,,,,,,,Tab3,
,,,,,,,,,,,,,,,,Gk,
,,,,,,,,,,,,,,,,Gm14764,
,,,,,,,,,,,,,,,,Gm14762,
,,,,,,,,,,,,,,,,5430427O19Rik,
,,,,,,,,,,,,,,,,Samt3,
,,,,,,,,,,,,,,,,Nr0b1,
,,,,,,,,,,,,,,,,Mageb4,
,,,,,,,,,,,,,,,,Il1rapl1,
,,,,,,,,,,,,,,,,Gm27000,
,,,,,,,,,,,,,,,,Pet2,
,,,,,,,,,,,,,,,,4932429P05Rik,
,,,,,,,,,,,,,,,,4930415L06Rik,
,,,,,,,,,,,,,,,,Gm44,
,,,,,,,,,,,,,,,,Gm14773,
,,,,,,,,,,,,,,,,Mageb2,
,,,,,,,,,,,,,,,,Gm5072,
,,,,,,,,,,,,,,,,Gm8914,
,,,,,,,,,,,,,,,,1700084M14Rik,
,,,,,,,,,,,,,,,,Gm14781,
,,,,,,,,,,,,,,,,Mageb5,
,,,,,,,,,,,,,,,,Mageb1,
,,,,,,,,,,,,,,,,Mageb18,
,,,,,,,,,,,,,,,,Gm5941,
,,,,,,,,,,,,,,,,1700003E24Rik,
,,,,,,,,,,,,,,,,BC061195,
,,,,,,,,,,,,,,,,Arx,
,,,,,,,,,,,,,,,,Pola1,
,,,,,,,,,,,,,,,,Pcyt1b,
,,,,,,,,,,,,,,,,Pdk3,
,,,,,,,,,,,,,,,,AU015836,
,,,,,,,,,,,,,,,,Gm14798,
,,,,,,,,,,,,,,,,Zfx,
,,,,,,,,,,,,,,,,Eif2s3x,
,,,,,,,,,,,,,,,,Klhl15,
,,,,,,,,,,,,,,,,Fam90a1b,
,,,,,,,,,,,,,,,,Apoo,
,,,,,,,,,,,,,,,,Gm14827,
,,,,,,,,,,,,,,,,Maged1,
,,,,,,,,,,,,,,,,Gspt2,
,,,,,,,,,,,,,,,,Zxdb,
,,,,,,,,,,,,,,,,RP23-9K14.6,
,,,,,,,,,,,,,,,,Gm26617,
,,,,,,,,,,,,,,,,Spin4,
,,,,,,,,,,,,,,,,Arhgef9,
,,,,,,,,,,,,,,,,Amer1,
,,,,,,,,,,,,,,,,Asb12,
,,,,,,,,,,,,,,,,Zc4h2,
,,,,,,,,,,,,,,,,Zc3h12b,
,,,,,,,,,,,,,,,,1700010D01Rik,
,,,,,,,,,,,,,,,,Las1l,
,,,,,,,,,,,,,,,,Msn,
,,,,,,,,,,,,,,,,F630028O10Rik,
,,,,,,,,,,,,,,,,Vsig4,
,,,,,,,,,,,,,,,,Hsf3,
,,,,,,,,,,,,,,,,Heph,
,,,,,,,,,,,,,,,,Gpr165,
,,,,,,,,,,,,,,,,Pgr15l,
,,,,,,,,,,,,,,,,Eda2r,
,,,,,,,,,,,,,,,,Ar,
,,,,,,,,,,,,,,,,Ophn1,
,,,,,,,,,,,,,,,,Yipf6,
,,,,,,,,,,,,,,,,Stard8,
,,,,,,,,,,,,,,,,Efnb1,
,,,,,,,,,,,,,,,,Gm14812,
,,,,,,,,,,,,,,,,Gm14809,
,,,,,,,,,,,,,,,,Gm14808,
,,,,,,,,,,,,,,,,Pja1,
,,,,,,,,,,,,,,,,Tmem28,
,,,,,,,,,,,,,,,,Eda,
,,,,,,,,,,,,,,,,Awat2,
,,,,,,,,,,,,,,,,Otud6a,
,,,,,,,,,,,,,,,,Igbp1,
,,,,,,,,,,,,,,,,Dgat2l6,
,,,,,,,,,,,,,,,,Awat1,
,,,,,,,,,,,,,,,,P2ry4,
,,,,,,,,,,,,,,,,Arr3,
,,,,,,,,,,,,,,,,Pdzd11,
,,,,,,,,,,,,,,,,Kif4,
,,,,,,,,,,,,,,,,Gdpd2,
,,,,,,,,,,,,,,,,Gm14902,
,,,,,,,,,,,,,,,,Dlg3,
,,,,,,,,,,,,,,,,Tex11,
,,,,,,,,,,,,,,,,Slc7a3,
,,,,,,,,,,,,,,,,Snx12,
,,,,,,,,,,,,,,,,Foxo4,
,,,,,,,,,,,,,,,,Gm614,
,,,,,,,,,,,,,,,,Gm20489,
,,,,,,,,,,,,,,,,Il2rg,
,,,,,,,,,,,,,,,,Med12,
,,,,,,,,,,,,,,,,Nlgn3,
,,,,,,,,,,,,,,,,Gjb1,
,,,,,,,,,,,,,,,,Zmym3,
,,,,,,,,,,,,,,,,Nono,
,,,,,,,,,,,,,,,,Itgb1bp2,
,,,,,,,,,,,,,,,,Taf1,
,,,,,,,,,,,,,,,,Ogt,
,,,,,,,,,,,,,,,,Cxcr3,
,,,,,,,,,,,,,,,,Gm4779,
,,,,,,,,,,,,,,,,8030474K03Rik,
,,,,,,,,,,,,,,,,Nhsl2,
,,,,,,,,,,,,,,,,Rgag4,
,,,,,,,,,,,,,,,,Pin4,
,,,,,,,,,,,,,,,,Ercc6l,
,,,,,,,,,,,,,,,,Rps4x,
,,,,,,,,,,,,,,,,Cited1,
,,,,,,,,,,,,,,,,Hdac8,
,,,,,,,,,,,,,,,,Phka1,
,,,,,,,,,,,,,,,,Gm9112,
,,,,,,,,,,,,,,,,Dmrtc1b,
,,,,,,,,,,,,,,,,Dmrtc1c1,
,,,,,,,,,,,,,,,,Dmrtc1c2,
,,,,,,,,,,,,,,,,1700031F05Rik,
,,,,,,,,,,,,,,,,Dmrtc1a,
,,,,,,,,,,,,,,,,1700011M02Rik,
,,,,,,,,,,,,,,,,Nap1l2,
,,,,,,,,,,,,,,,,Cdx4,
,,,,,,,,,,,,,,,,Chic1,
,,,,,,,,,,,,,,,,Gm26952,
,,,,,,,,,,,,,,,,Tsx,
,,,,,,,,,,,,,,,,Gm26992,
,,,,,,,,,,,,,,,,Tsix,
,,,,,,,,,,,,,,,,Xist,
,,,,,,,,,,,,,,,,Jpx,
,,,,,,,,,,,,,,,,Ftx,
,,,,,,,,,,,,,,,,Zcchc13,
,,,,,,,,,,,,,,,,Slc16a2,
,,,,,,,,,,,,,,,,Rlim,
,,,,,,,,,,,,,,,,C77370,
,,,,,,,,,,,,,,,,Abcb7,
,,,,,,,,,,,,,,,,Uprt,
,,,,,,,,,,,,,,,,Zdhhc15,
,,,,,,,,,,,,,,,,1700121L16Rik,
,,,,,,,,,,,,,,,,Magee2,
,,,,,,,,,,,,,,,,Pbdc1,
,,,,,,,,,,,,,,,,Magee1,
,,,,,,,,,,,,,,,,5330434G04Rik,
,,,,,,,,,,,,,,,,Cypt2,
,,,,,,,,,,,,,,,,Fgf16,
,,,,,,,,,,,,,,,,Atrx,
,,,,,,,,,,,,,,,,Magt1,
,,,,,,,,,,,,,,,,Cox7b,
,,,,,,,,,,,,,,,,Atp7a,
,,,,,,,,,,,,,,,,Tlr13,
,,,,,,,,,,,,,,,,Pgk1,
,,,,,,,,,,,,,,,,Taf9b,
,,,,,,,,,,,,,,,,Fnd3c2,
,,,,,,,,,,,,,,,,Fndc3c1,
,,,,,,,,,,,,,,,,Cysltr1,
,,,,,,,,,,,,,,,,Gm5127,
,,,,,,,,,,,,,,,,Zcchc5,
,,,,,,,,,,,,,,,,Lpar4,
,,,,,,,,,,,,,,,,P2ry10,
,,,,,,,,,,,,,,,,A630033H20Rik,
,,,,,,,,,,,,,,,,Gpr174,
,,,,,,,,,,,,,,,,Itm2a,
,,,,,,,,,,,,,,,,Tbx22,
,,,,,,,,,,,,,,,,2610002M06Rik,
,,,,,,,,,,,,,,,,Fam46d,
,,,,,,,,,,,,,,,,Gm732,
,,,,,,,,,,,,,,,,Gm379,
,,,,,,,,,,,,,,,,Brwd3,
,,,,,,,,,,,,,,,,Hmgn5,
,,,,,,,,,,,,,,,,Sh3bgrl,
,,,,,,,,,,,,,,,,Gm6377,
,,,,,,,,,,,,,,,,RP23-240M8.2,
,,,,,,,,,,,,,,,,Pou3f4,
,,,,,,,,,,,,,,,,Cylc1,
,,,,,,,,,,,,,,,,Gm10112,
,,,,,,,,,,,,,,,,Rps6ka6,
,,,,,,,,,,,,,,,,Hdx,
,,,,,,,,,,,,,,,,RP23-466J17.3,
,,,,,,,,,,,,,,,,Tex16,
,,,,,,,,,,,,,,,,4933403O08Rik,
,,,,,,,,,,,,,,,,Apool,
,,,,,,,,,,,,,,,,Satl1,
,,,,,,,,,,,,,,,,2010106E10Rik,
,,,,,,,,,,,,,,,,Zfp711,
,,,,,,,,,,,,,,,,Pof1b,
,,,,,,,,,,,,,,,,Gm14936,
,,,,,,,,,,,,,,,,Chm,
,,,,,,,,,,,,,,,,Dach2,
,,,,,,,,,,,,,,,,Klhl4,
,,,,,,,,,,,,,,,,Ube2dnl1,
,,,,,,,,,,,,,,,,Ube2dnl2,
,,,,,,,,,,,,,,,,4930555B12Rik,
,,,,,,,,,,,,,,,,Cpxcr1,
,,,,,,,,,,,,,,,,H2afb2,
,,,,,,,,,,,,,,,,Gm14920,
,,,,,,,,,,,,,,,,Gm28579,
,,,,,,,,,,,,,,,,Tgif2lx2,
,,,,,,,,,,,,,,,,Tgif2lx1,
,,,,,,,,,,,,,,,,Gm14929,
,,,,,,,,,,,,,,,,Pabpc5,
,,,,,,,,,,,,,,,,Pcdh11x,
,,,,,,,,,,,,,,,,H2afb3,
,,,,,,,,,,,,,,,,Nap1l3,
,,,,,,,,,,,,,,,,Gm17521,
,,,,,,,,,,,,,,,,Cldn34c1,
,,,,,,,,,,,,,,,,Astx6,
,,,,,,,,,,,,,,,,Srsx,
,,,,,,,,,,,,,,,,Gm17577,
,,,,,,,,,,,,,,,,Gm14951,
,,,,,,,,,,,,,,,,Astx2,
,,,,,,,,,,,,,,,,Gm17412,
,,,,,,,,,,,,,,,,Cldn34c2,
,,,,,,,,,,,,,,,,Gm14950,
,,,,,,,,,,,,,,,,Gm17467,
,,,,,,,,,,,,,,,,Cldn34c3,
,,,,,,,,,,,,,,,,Astx5,
,,,,,,,,,,,,,,,,Vmn2r121,
,,,,,,,,,,,,,,,,Astx1a,
,,,,,,,,,,,,,,,,Gm17584,
,,,,,,,,,,,,,,,,Astx4a,
,,,,,,,,,,,,,,,,Gm17469,
,,,,,,,,,,,,,,,,Astx4b,
,,,,,,,,,,,,,,,,Astx1b,
,,,,,,,,,,,,,,,,Gm17361,
,,,,,,,,,,,,,,,,Gm21616,
,,,,,,,,,,,,,,,,Astx4c,
,,,,,,,,,,,,,,,,Gm17693,
,,,,,,,,,,,,,,,,Astx1c,
,,,,,,,,,,,,,,,,Gm17522,
,,,,,,,,,,,,,,,,Astx4d,
,,,,,,,,,,,,,,,,Gm17267,
,,,,,,,,,,,,,,,,Astx3,
,,,,,,,,,,,,,,,,4932411N23Rik,
,,,,,,,,,,,,,,,,Gm382,
,,,,,,,,,,,,,,,,4921511C20Rik,
,,,,,,,,,,,,,,,,Cldn34c4,
,,,,,,,,,,,,,,,,4930558G05Rik,
,,,,,,,,,,,,,,,,Diaph2,
,,,,,,,,,,,,,,,,Pcdh19,
,,,,,,,,,,,,,,,,Gm26851,
,,,,,,,,,,,,,,,,Tnmd,
,,,,,,,,,,,,,,,,Tspan6,
,,,,,,,,,,,,,,,,Srpx2,
,,,,,,,,,,,,,,,,Sytl4,
,,,,,,,,,,,,,,,,Cstf2,
,,,,,,,,,,,,,,,,Nox1,
,,,,,,,,,,,,,,,,Xkrx,
,,,,,,,,,,,,,,,,Arl13a,
,,,,,,,,,,,,,,,,Trmt2b,
,,,,,,,,,,,,,,,,Tmem35,
,,,,,,,,,,,,,,,,Cenpi,
,,,,,,,,,,,,,,,,Drp2,
,,,,,,,,,,,,,,,,Taf7l,
,,,,,,,,,,,,,,,,Timm8a1,
